shooter_name,division,raw_score,placement
"Werner Walkinshaw",Limited,,
"Nicholas Harlow",Open,,
"Tony Van Heerden",Open,,
"Ruan Zeeman",Open,47,1
"Le Riche Coetzer Snr",Senior,43,2
"Pieter Malan",Open,40,3
"Patrick Capes",Factory,39,4
"Monica Le Roux",Ladies,34,5
"Bosman Le Roux",Limited,33,6
"Jozef Kriek",Limited,29,7
"Malcolm Coetzee",Open,22,8
"Reinard Stapelberg",Open,22,8
"Daniel G",Junior,14,10
"Riaan Kruger",Open,4,11
"Andre Malan",Open,0,12
