Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 2 Duck Hunting,11,Asharuf  Moorad ,Asharuf,South Africa,Open,5,41.67%,-7,41.67%,9/12,0.00,Completed
Stage: 2 Duck Hunting,12,Glen Clark ,Glen,South Africa,Senior,5,41.67%,-7,41.67%,8/12,0.00,Completed
Stage: 2 Duck Hunting,13,Greg  Sykes,Gregs,South Africa,Senior,5,41.67%,-7,41.67%,11/12,0.00,Completed
Stage: 2 Duck Hunting,14,Handre van Niekerk,havn,South Africa,Factory,5,41.67%,-7,41.67%,9/12,0.00,Completed
Stage: 2 Duck Hunting,15,Jaco Bosman,JacoBos,South Africa,Open,5,41.67%,-7,41.67%,9/12,0.00,Completed
Stage: 2 Duck Hunting,16,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,5,41.67%,-7,41.67%,8/12,0.00,Completed
Stage: 2 Duck Hunting,17,Liezel Foot,TheFoot,South Africa,Ladies,5,41.67%,-7,41.67%,10/12,0.00,Completed
Stage: 2 Duck Hunting,18,Pieter le Roux,gokinetix,South Africa,Factory,5,41.67%,-7,41.67%,9/12,0.00,Completed
Stage: 2 Duck Hunting,19,Sean Graham,SeanGraham,South Africa,Open,5,41.67%,-7,41.67%,7/12,0.00,Completed
Stage: 2 Duck Hunting,20,Stelios Christofi,Stel,South Africa,Factory,5,41.67%,-7,41.67%,6/12,0.00,Completed
Stage: 2 Duck Hunting,21,Dumisani Shabangu,Dumisani,South Africa,Open,4,33.33%,-8,33.33%,8/12,0.00,Completed
Stage: 2 Duck Hunting,22,Johan Symington,asymington,South Africa,Junior,4,33.33%,-8,33.33%,8/12,0.00,Completed
Stage: 2 Duck Hunting,23,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,4,33.33%,-8,33.33%,8/12,0.00,Completed
Stage: 2 Duck Hunting,24,Dehan Lotz,Lotz,South Africa,Open,3,25.00%,-9,25.00%,6/12,0.00,Completed
Stage: 2 Duck Hunting,25,Grant Bower,GeeBee,South Africa,Factory,3,25.00%,-9,25.00%,8/12,0.00,Completed
Stage: 2 Duck Hunting,26,Wynand Brand,Wynand,South Africa,Open,3,25.00%,-9,25.00%,10/12,0.00,Completed
Stage: 2 Duck Hunting,27,Ignatius Lambert,Skurmonkel,South Africa,Open,2,16.67%,-10,16.67%,8/12,0.00,Completed
Stage: 2 Duck Hunting,28,Marieke Van Rooyen,Marieke,South Africa,Ladies,2,16.67%,-10,16.67%,8/12,0.00,Completed
Stage: 2 Duck Hunting,29,Kobus Swart,kobusswart31,South Africa,Open,1,8.33%,-11,8.33%,3/12,0.00,Completed
Stage: 3 Herd Control,1,Sean Graham,SeanGraham,South Africa,Open,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 3 Herd Control,2,Angelo van Zyl,AngeloZ,South Africa,Open,8,80.00%,-2,80.00%,9/10,0.00,Completed
Stage: 3 Herd Control,3,Glen Clark ,Glen,South Africa,Senior,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 3 Herd Control,4,Jaco Bosman,JacoBos,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 3 Herd Control,5,Grant Bower,GeeBee,South Africa,Factory,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 3 Herd Control,6,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 3 Herd Control,7,Stelios Christofi,Stel,South Africa,Factory,7,70.00%,-3,70.00%,8/10,0.00,Completed
Stage: 3 Herd Control,8,Dumisani Shabangu,Dumisani,South Africa,Open,6,60.00%,-4,60.00%,8/10,0.00,Completed
Stage: 3 Herd Control,9,Riaan  Kunneke ,Nunuz007,South Africa,Senior,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 3 Herd Control,10,Handre van Niekerk,havn,South Africa,Factory,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 3 Herd Control,11,Asharuf  Moorad ,Asharuf,South Africa,Open,4,40.00%,-6,40.00%,9/10,0.00,Completed
Stage: 3 Herd Control,12,Johan Symington,asymington,South Africa,Junior,4,40.00%,-6,40.00%,9/10,0.00,Completed
Stage: 3 Herd Control,13,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,4,40.00%,-6,40.00%,9/10,0.00,Completed
Stage: 3 Herd Control,14,Andre Steenkamp,andre_intouch,South Africa,Senior,3,30.00%,-7,30.00%,8/10,0.00,Completed
Stage: 3 Herd Control,15,Greg  Sykes,Gregs,South Africa,Senior,3,30.00%,-7,30.00%,9/10,0.00,Completed
Stage: 3 Herd Control,16,Kobus Swart,kobusswart31,South Africa,Open,3,30.00%,-7,30.00%,8/10,0.00,Completed
Stage: 3 Herd Control,17,Wynand Brand,Wynand,South Africa,Open,3,30.00%,-7,30.00%,8/10,0.00,Completed
Stage: 3 Herd Control,18,Andries Lategan,Lategan,South Africa,Senior,2,20.00%,-8,20.00%,8/10,0.00,Completed
Stage: 3 Herd Control,19,Ignatius Lambert,Skurmonkel,South Africa,Open,2,20.00%,-8,20.00%,7/10,0.00,Completed
Stage: 3 Herd Control,20,Kevin Goncalves,Kevo_,South Africa,Factory,2,20.00%,-8,20.00%,8/10,0.00,Completed
Stage: 3 Herd Control,21,Dehan Lotz,Lotz,South Africa,Open,1,10.00%,-9,10.00%,8/10,0.00,Completed
Stage: 3 Herd Control,22,Gerhard Slabbert,Gerhard,South Africa,Open,1,10.00%,-9,10.00%,9/10,0.00,Completed
Stage: 3 Herd Control,23,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,1,10.00%,-9,10.00%,8/10,0.00,Completed
Stage: 3 Herd Control,24,Pieter le Roux,gokinetix,South Africa,Factory,1,10.00%,-9,10.00%,7/10,0.00,Completed
Stage: 3 Herd Control,25,Andre Symington,JohanSym,South Africa,Senior,0,0.00%,-10,0.00%,8/10,0.00,Completed
Stage: 3 Herd Control,26,Hugo Coetzee,kleinplasie15,South Africa,Open,0,0.00%,-10,0.00%,8/10,0.00,Completed
Stage: 3 Herd Control,27,Liezel Foot,TheFoot,South Africa,Ladies,0,0.00%,-10,0.00%,8/10,0.00,Completed
Stage: 3 Herd Control,28,Marieke Van Rooyen,Marieke,South Africa,Ladies,0,0.00%,-10,0.00%,6/10,0.00,Completed
Stage: 3 Herd Control,29,Werner Walkinshaw,WernerWW,South Africa,Open,0,0.00%,-10,0.00%,7/10,0.00,Completed
Stage: 4 Branch Manager,1,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,12,100.00%,0,100.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,2,Handre van Niekerk,havn,South Africa,Factory,11,91.67%,-1,91.67%,12/12,0.00,Completed
Stage: 4 Branch Manager,3,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
Stage: 4 Branch Manager,4,Kevin Goncalves,Kevo_,South Africa,Factory,10,83.33%,-2,83.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,5,Werner Walkinshaw,WernerWW,South Africa,Open,10,83.33%,-2,83.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,6,Angelo van Zyl,AngeloZ,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,7,Grant Bower,GeeBee,South Africa,Factory,9,75.00%,-3,75.00%,10/12,0.00,Completed
Stage: 4 Branch Manager,8,Jaco Bosman,JacoBos,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,9,Johan Symington,asymington,South Africa,Junior,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,10,Sean Graham,SeanGraham,South Africa,Open,9,75.00%,-3,75.00%,11/12,0.00,Completed
Stage: 4 Branch Manager,11,Asharuf  Moorad ,Asharuf,South Africa,Open,8,66.67%,-4,66.67%,10/12,0.00,Completed
Stage: 4 Branch Manager,12,Gerhard Slabbert,Gerhard,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
Stage: 4 Branch Manager,13,Riaan  Kunneke ,Nunuz007,South Africa,Senior,8,66.67%,-4,66.67%,9/12,0.00,Completed
Stage: 4 Branch Manager,14,Stelios Christofi,Stel,South Africa,Factory,8,66.67%,-4,66.67%,9/12,0.00,Completed
Stage: 4 Branch Manager,15,Wynand Brand,Wynand,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
Stage: 4 Branch Manager,16,Andries Lategan,Lategan,South Africa,Senior,7,58.33%,-5,58.33%,11/12,0.00,Completed
Stage: 4 Branch Manager,17,Hugo Coetzee,kleinplasie15,South Africa,Open,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,18,Ignatius Lambert,Skurmonkel,South Africa,Open,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,19,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,20,Andre Steenkamp,andre_intouch,South Africa,Senior,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,21,Pieter le Roux,gokinetix,South Africa,Factory,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 4 Branch Manager,22,Dumisani Shabangu,Dumisani,South Africa,Open,5,41.67%,-7,41.67%,8/12,0.00,Completed
Stage: 4 Branch Manager,23,Greg  Sykes,Gregs,South Africa,Senior,5,41.67%,-7,41.67%,10/12,0.00,Completed
Stage: 4 Branch Manager,24,Andre Symington,JohanSym,South Africa,Senior,4,33.33%,-8,33.33%,9/12,0.00,Completed
Stage: 4 Branch Manager,25,Dehan Lotz,Lotz,South Africa,Open,4,33.33%,-8,33.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,26,Glen Clark ,Glen,South Africa,Senior,4,33.33%,-8,33.33%,11/12,0.00,Completed
Stage: 4 Branch Manager,27,Kobus Swart,kobusswart31,South Africa,Open,4,33.33%,-8,33.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,28,Liezel Foot,TheFoot,South Africa,Ladies,4,33.33%,-8,33.33%,12/12,0.00,Completed
Stage: 4 Branch Manager,29,Marieke Van Rooyen,Marieke,South Africa,Ladies,0,0.00%,-12,0.00%,9/12,0.00,Completed
Stage: 5 Downhill Battle,1,Hugo Coetzee,kleinplasie15,South Africa,Open,10,83.33%,-2,83.33%,12/12,0.00,Completed
Stage: 5 Downhill Battle,2,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,10,83.33%,-2,83.33%,11/12,0.00,Completed
Stage: 5 Downhill Battle,3,Kobus Swart,kobusswart31,South Africa,Open,10,83.33%,-2,83.33%,12/12,0.00,Completed
Stage: 5 Downhill Battle,4,Andries Lategan,Lategan,South Africa,Senior,9,75.00%,-3,75.00%,11/12,0.00,Completed
Stage: 5 Downhill Battle,5,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,6,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,7,Sean Graham,SeanGraham,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,8,Dumisani Shabangu,Dumisani,South Africa,Open,8,66.67%,-4,66.67%,11/12,0.00,Completed
Stage: 5 Downhill Battle,9,Gerhard Slabbert,Gerhard,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
Stage: 5 Downhill Battle,10,Greg  Sykes,Gregs,South Africa,Senior,8,66.67%,-4,66.67%,11/12,0.00,Completed
Stage: 5 Downhill Battle,11,Asharuf  Moorad ,Asharuf,South Africa,Open,7,58.33%,-5,58.33%,9/12,0.00,Completed
Stage: 5 Downhill Battle,12,Handre van Niekerk,havn,South Africa,Factory,7,58.33%,-5,58.33%,11/12,0.00,Completed
Stage: 5 Downhill Battle,13,Johan Symington,asymington,South Africa,Junior,7,58.33%,-5,58.33%,11/12,0.00,Completed
Stage: 5 Downhill Battle,14,Kevin Goncalves,Kevo_,South Africa,Factory,7,58.33%,-5,58.33%,12/12,0.00,Completed
Stage: 5 Downhill Battle,15,Marieke Van Rooyen,Marieke,South Africa,Ladies,7,58.33%,-5,58.33%,8/12,0.00,Completed
Stage: 5 Downhill Battle,16,Angelo van Zyl,AngeloZ,South Africa,Open,6,50.00%,-6,50.00%,11/12,0.00,Completed
Stage: 5 Downhill Battle,17,Dehan Lotz,Lotz,South Africa,Open,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,18,Liezel Foot,TheFoot,South Africa,Ladies,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,19,Pieter le Roux,gokinetix,South Africa,Factory,6,50.00%,-6,50.00%,9/12,0.00,Completed
Stage: 5 Downhill Battle,20,Riaan  Kunneke ,Nunuz007,South Africa,Senior,6,50.00%,-6,50.00%,11/12,0.00,Completed
Stage: 5 Downhill Battle,21,Stelios Christofi,Stel,South Africa,Factory,6,50.00%,-6,50.00%,10/12,0.00,Completed
Stage: 5 Downhill Battle,22,Werner Walkinshaw,WernerWW,South Africa,Open,6,50.00%,-6,50.00%,11/12,0.00,Completed
Stage: 5 Downhill Battle,23,Wynand Brand,Wynand,South Africa,Open,6,50.00%,-6,50.00%,12/12,0.00,Completed
Stage: 5 Downhill Battle,24,Jaco Bosman,JacoBos,South Africa,Open,5,41.67%,-7,41.67%,12/12,0.00,Completed
Stage: 5 Downhill Battle,25,Andre Symington,JohanSym,South Africa,Senior,4,33.33%,-8,33.33%,9/12,0.00,Completed
