Stage,Rank,Name,HandleName,Nationality,Division,Impacts,SuccessRate,Dropped,Score,Progress,Time,Status
Stage: 7 Pole Yard,28,Handre van Niekerk,havn,South Africa,Factory,0,0.00%,-10,0.00%,6/10,0.00,Completed
Stage: 7 Pole Yard,29,Ignatius Lambert,Skurmonkel,South Africa,Open,0,0.00%,-10,0.00%,6/10,0.00,Completed
Stage: 8 I am the captain now...,1,Johan Symington,asymington,South Africa,Junior,10,100.00%,0,100.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,2,Handre van Niekerk,havn,South Africa,Factory,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,3,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,4,Kobus Swart,kobusswart31,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,5,Andries Lategan,Lategan,South Africa,Senior,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,6,Angelo van Zyl,AngeloZ,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,7,Grant Bower,GeeBee,South Africa,Factory,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,8,Greg  Sykes,Gregs,South Africa,Senior,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,9,Ignatius Lambert,Skurmonkel,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,10,Riaan  Kunneke ,Nunuz007,South Africa,Senior,5,50.00%,-5,50.00%,9/10,0.00,Completed
Stage: 8 I am the captain now...,11,Wynand Brand,Wynand,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,12,Asharuf  Moorad ,Asharuf,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,13,Dehan Lotz,Lotz,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,14,Jaco Bosman,JacoBos,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,15,Marieke Van Rooyen,Marieke,South Africa,Ladies,4,40.00%,-6,40.00%,8/10,0.00,Completed
Stage: 8 I am the captain now...,16,Sean Graham,SeanGraham,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,17,Stelios Christofi,Stel,South Africa,Factory,4,40.00%,-6,40.00%,7/10,0.00,Completed
Stage: 8 I am the captain now...,18,Dumisani Shabangu,Dumisani,South Africa,Open,3,30.00%,-7,30.00%,8/10,0.00,Completed
Stage: 8 I am the captain now...,19,Gerhard Slabbert,Gerhard,South Africa,Open,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,20,Kevin Goncalves,Kevo_,South Africa,Factory,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,21,Werner Walkinshaw,WernerWW,South Africa,Open,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,22,Andre Symington,JohanSym,South Africa,Senior,2,20.00%,-8,20.00%,8/10,0.00,Completed
Stage: 8 I am the captain now...,23,Hugo Coetzee,kleinplasie15,South Africa,Open,2,20.00%,-8,20.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,24,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,2,20.00%,-8,20.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,25,Andre Steenkamp,andre_intouch,South Africa,Senior,1,10.00%,-9,10.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,26,Glen Clark ,Glen,South Africa,Senior,1,10.00%,-9,10.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,27,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,1,10.00%,-9,10.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,28,Liezel Foot,TheFoot,South Africa,Ladies,1,10.00%,-9,10.00%,10/10,0.00,Completed
Stage: 8 I am the captain now...,29,Pieter le Roux,gokinetix,South Africa,Factory,1,10.00%,-9,10.00%,9/10,0.00,Completed
Stage: 9 Jumping the Fence,1,Jaco Bosman,JacoBos,South Africa,Open,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,2,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,9,90.00%,-1,90.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,3,Andries Lategan,Lategan,South Africa,Senior,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,4,Dehan Lotz,Lotz,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,5,Glen Clark ,Glen,South Africa,Senior,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,6,Grant Bower,GeeBee,South Africa,Factory,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,7,Werner Walkinshaw,WernerWW,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,8,Gerhard Slabbert,Gerhard,South Africa,Open,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,9,Greg  Sykes,Gregs,South Africa,Senior,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,10,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,7,70.00%,-3,70.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,11,Handre van Niekerk,havn,South Africa,Factory,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,12,Kobus Swart,kobusswart31,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,13,Sean Graham,SeanGraham,South Africa,Open,6,60.00%,-4,60.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,14,Andre Symington,JohanSym,South Africa,Senior,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,15,Angelo van Zyl,AngeloZ,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,16,Hugo Coetzee,kleinplasie15,South Africa,Open,5,50.00%,-5,50.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,17,Asharuf  Moorad ,Asharuf,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,18,Ignatius Lambert,Skurmonkel,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,19,Kevin Goncalves,Kevo_,South Africa,Factory,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,20,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,21,Liezel Foot,TheFoot,South Africa,Ladies,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,22,Pieter le Roux,gokinetix,South Africa,Factory,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,23,Riaan  Kunneke ,Nunuz007,South Africa,Senior,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,24,Wynand Brand,Wynand,South Africa,Open,4,40.00%,-6,40.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,25,Andre Steenkamp,andre_intouch,South Africa,Senior,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,26,Dumisani Shabangu,Dumisani,South Africa,Open,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,27,Johan Symington,asymington,South Africa,Junior,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,28,Marieke Van Rooyen,Marieke,South Africa,Ladies,3,30.00%,-7,30.00%,10/10,0.00,Completed
Stage: 9 Jumping the Fence,29,Stelios Christofi,Stel,South Africa,Factory,2,20.00%,-8,20.00%,10/10,0.00,Completed
D2 Stage: 10 Holding the Line,1,Dehan Lotz,Lotz,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,2,Gerhard Slabbert,Gerhard,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,3,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,12,100.00%,0,100.00%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,4,Angelo van Zyl,AngeloZ,South Africa,Open,11,91.67%,-1,91.67%,11/12,0.00,Completed
D2 Stage: 10 Holding the Line,5,Hugo Coetzee,kleinplasie15,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,6,Jaco Bosman,JacoBos,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,7,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,8,Kobus Swart,kobusswart31,South Africa,Open,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,9,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,10,Andre Symington,JohanSym,South Africa,Senior,9,75.00%,-3,75.00%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,11,Asharuf  Moorad ,Asharuf,South Africa,Open,9,75.00%,-3,75.00%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,12,Sean Graham,SeanGraham,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,13,Dumisani Shabangu,Dumisani,South Africa,Open,8,66.67%,-4,66.67%,9/12,0.00,Completed
D2 Stage: 10 Holding the Line,14,Glen Clark ,Glen,South Africa,Senior,8,66.67%,-4,66.67%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,15,Handre van Niekerk,havn,South Africa,Factory,8,66.67%,-4,66.67%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,16,Johan Symington,asymington,South Africa,Junior,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,17,Liezel Foot,TheFoot,South Africa,Ladies,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 10 Holding the Line,18,Pieter le Roux,gokinetix,South Africa,Factory,8,66.67%,-4,66.67%,11/12,0.00,Completed
D2 Stage: 10 Holding the Line,19,Andre Steenkamp,andre_intouch,South Africa,Senior,7,58.33%,-5,58.33%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,20,Grant Bower,GeeBee,South Africa,Factory,7,58.33%,-5,58.33%,9/12,0.00,Completed
D2 Stage: 10 Holding the Line,21,Kevin Goncalves,Kevo_,South Africa,Factory,7,58.33%,-5,58.33%,11/12,0.00,Completed
D2 Stage: 10 Holding the Line,22,Marieke Van Rooyen,Marieke,South Africa,Ladies,7,58.33%,-5,58.33%,8/12,0.00,Completed
D2 Stage: 10 Holding the Line,23,Riaan  Kunneke ,Nunuz007,South Africa,Senior,7,58.33%,-5,58.33%,8/12,0.00,Completed
D2 Stage: 10 Holding the Line,24,Werner Walkinshaw,WernerWW,South Africa,Open,7,58.33%,-5,58.33%,11/12,0.00,Completed
D2 Stage: 10 Holding the Line,25,Wynand Brand,Wynand,South Africa,Open,7,58.33%,-5,58.33%,11/12,0.00,Completed
D2 Stage: 10 Holding the Line,26,Andries Lategan,Lategan,South Africa,Senior,6,50.00%,-6,50.00%,8/12,0.00,Completed
D2 Stage: 10 Holding the Line,27,Greg  Sykes,Gregs,South Africa,Senior,5,41.67%,-7,41.67%,10/12,0.00,Completed
D2 Stage: 10 Holding the Line,28,Ignatius Lambert,Skurmonkel,South Africa,Open,5,41.67%,-7,41.67%,9/12,0.00,Completed
D2 Stage: 10 Holding the Line,29,Stelios Christofi,Stel,South Africa,Factory,5,41.67%,-7,41.67%,10/12,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,1,Dehan Lotz,Lotz,South Africa,Open,8,80.00%,-2,80.00%,10/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,2,Greg  Sykes,Gregs,South Africa,Senior,7,70.00%,-3,70.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,3,Johan Symington,asymington,South Africa,Junior,7,70.00%,-3,70.00%,10/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,4,Pieter le Roux,gokinetix,South Africa,Factory,7,70.00%,-3,70.00%,8/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,5,Sean Graham,SeanGraham,South Africa,Open,7,70.00%,-3,70.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,6,Andries Lategan,Lategan,South Africa,Senior,6,60.00%,-4,60.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,7,Angelo van Zyl,AngeloZ,South Africa,Open,6,60.00%,-4,60.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,8,Dumisani Shabangu,Dumisani,South Africa,Open,6,60.00%,-4,60.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,9,Gerhard Slabbert,Gerhard,South Africa,Open,6,60.00%,-4,60.00%,8/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,10,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,6,60.00%,-4,60.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,11,Kevin Goncalves,Kevo_,South Africa,Factory,6,60.00%,-4,60.00%,10/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,12,Kobus Swart,kobusswart31,South Africa,Open,6,60.00%,-4,60.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,13,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,6,60.00%,-4,60.00%,8/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,14,Andre Steenkamp,andre_intouch,South Africa,Senior,5,50.00%,-5,50.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,15,Andre Symington,JohanSym,South Africa,Senior,5,50.00%,-5,50.00%,5/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,16,Asharuf  Moorad ,Asharuf,South Africa,Open,5,50.00%,-5,50.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,17,Glen Clark ,Glen,South Africa,Senior,5,50.00%,-5,50.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,18,Handre van Niekerk,havn,South Africa,Factory,5,50.00%,-5,50.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,19,Hugo Coetzee,kleinplasie15,South Africa,Open,5,50.00%,-5,50.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,20,Jaco Bosman,JacoBos,South Africa,Open,5,50.00%,-5,50.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,21,Liezel Foot,TheFoot,South Africa,Ladies,5,50.00%,-5,50.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,22,Riaan  Kunneke ,Nunuz007,South Africa,Senior,5,50.00%,-5,50.00%,7/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,23,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,4,40.00%,-6,40.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,24,Wynand Brand,Wynand,South Africa,Open,4,40.00%,-6,40.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,25,Grant Bower,GeeBee,South Africa,Factory,3,30.00%,-7,30.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,26,Ignatius Lambert,Skurmonkel,South Africa,Open,3,30.00%,-7,30.00%,6/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,27,Marieke Van Rooyen,Marieke,South Africa,Ladies,3,30.00%,-7,30.00%,5/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,28,Stelios Christofi,Stel,South Africa,Factory,3,30.00%,-7,30.00%,5/10,0.00,Completed
D2 Stage: 11 Tanks for Nothing!,29,Werner Walkinshaw,WernerWW,South Africa,Open,3,30.00%,-7,30.00%,5/10,0.00,Completed
D2 Stage: 12 X-Mas in Feb,1,Kevin Goncalves,Kevo_,South Africa,Factory,12,100.00%,0,100.00%,12/12,103.56,Completed
D2 Stage: 12 X-Mas in Feb,2,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,11,91.67%,-1,91.67%,12/12,89.00,Completed
D2 Stage: 12 X-Mas in Feb,3,Jaco Bosman,JacoBos,South Africa,Open,11,91.67%,-1,91.67%,12/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,4,Johan Symington,asymington,South Africa,Junior,11,91.67%,-1,91.67%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,5,Werner Walkinshaw,WernerWW,South Africa,Open,11,91.67%,-1,91.67%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,6,Asharuf  Moorad ,Asharuf,South Africa,Open,10,83.33%,-2,83.33%,10/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,7,Gerhard Slabbert,Gerhard,South Africa,Open,10,83.33%,-2,83.33%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,8,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,10,83.33%,-2,83.33%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,9,Dehan Lotz,Lotz,South Africa,Open,9,75.00%,-3,75.00%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,10,Dumisani Shabangu,Dumisani,South Africa,Open,9,75.00%,-3,75.00%,10/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,11,Greg  Sykes,Gregs,South Africa,Senior,9,75.00%,-3,75.00%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,12,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,9,75.00%,-3,75.00%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,13,Pieter le Roux,gokinetix,South Africa,Factory,9,75.00%,-3,75.00%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,14,Andries Lategan,Lategan,South Africa,Senior,8,66.67%,-4,66.67%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,15,Glen Clark ,Glen,South Africa,Senior,8,66.67%,-4,66.67%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,16,Kobus Swart,kobusswart31,South Africa,Open,8,66.67%,-4,66.67%,10/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,17,Liezel Foot,TheFoot,South Africa,Ladies,8,66.67%,-4,66.67%,11/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,18,Sean Graham,SeanGraham,South Africa,Open,8,66.67%,-4,66.67%,8/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,19,Andre Steenkamp,andre_intouch,South Africa,Senior,7,58.33%,-5,58.33%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,20,Angelo van Zyl,AngeloZ,South Africa,Open,7,58.33%,-5,58.33%,10/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,21,Marieke Van Rooyen,Marieke,South Africa,Ladies,7,58.33%,-5,58.33%,8/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,22,Wynand Brand,Wynand,South Africa,Open,7,58.33%,-5,58.33%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,23,Andre Symington,JohanSym,South Africa,Senior,6,50.00%,-6,50.00%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,24,Hugo Coetzee,kleinplasie15,South Africa,Open,6,50.00%,-6,50.00%,10/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,25,Ignatius Lambert,Skurmonkel,South Africa,Open,6,50.00%,-6,50.00%,9/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,26,Grant Bower,GeeBee,South Africa,Factory,4,33.33%,-8,33.33%,7/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,27,Riaan  Kunneke ,Nunuz007,South Africa,Senior,4,33.33%,-8,33.33%,5/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,28,Stelios Christofi,Stel,South Africa,Factory,4,33.33%,-8,33.33%,7/12,105.00,Completed
D2 Stage: 12 X-Mas in Feb,29,Handre van Niekerk,havn,South Africa,Factory,3,25.00%,-9,25.00%,4/12,105.00,Completed
D2 Stage: 13 The Looong Game,1,Gerhard Slabbert,Gerhard,South Africa,Open,9,75.00%,-3,75.00%,10/12,0.00,Completed
D2 Stage: 13 The Looong Game,2,Handre van Niekerk,havn,South Africa,Factory,9,75.00%,-3,75.00%,9/12,0.00,Completed
D2 Stage: 13 The Looong Game,3,Kevin Goncalves,Kevo_,South Africa,Factory,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 13 The Looong Game,4,Hugo Coetzee,kleinplasie15,South Africa,Open,7,58.33%,-5,58.33%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,5,Glen Clark ,Glen,South Africa,Senior,6,50.00%,-6,50.00%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,6,Johan Symington,asymington,South Africa,Junior,6,50.00%,-6,50.00%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,7,Kobus Swart,kobusswart31,South Africa,Open,6,50.00%,-6,50.00%,9/12,0.00,Completed
D2 Stage: 13 The Looong Game,8,Wynand Brand,Wynand,South Africa,Open,6,50.00%,-6,50.00%,7/12,0.00,Completed
D2 Stage: 13 The Looong Game,9,Dehan Lotz,Lotz,South Africa,Open,5,41.67%,-7,41.67%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,10,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,5,41.67%,-7,41.67%,10/12,0.00,Completed
D2 Stage: 13 The Looong Game,11,Andre Symington,JohanSym,South Africa,Senior,4,33.33%,-8,33.33%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,12,Andries Lategan,Lategan,South Africa,Senior,4,33.33%,-8,33.33%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,13,Angelo van Zyl,AngeloZ,South Africa,Open,4,33.33%,-8,33.33%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,14,Asharuf  Moorad ,Asharuf,South Africa,Open,4,33.33%,-8,33.33%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,15,Greg  Sykes,Gregs,South Africa,Senior,4,33.33%,-8,33.33%,9/12,0.00,Completed
D2 Stage: 13 The Looong Game,16,Ignatius Lambert,Skurmonkel,South Africa,Open,4,33.33%,-8,33.33%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,17,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,4,33.33%,-8,33.33%,9/12,0.00,Completed
D2 Stage: 13 The Looong Game,18,Marieke Van Rooyen,Marieke,South Africa,Ladies,4,33.33%,-8,33.33%,5/12,0.00,Completed
D2 Stage: 13 The Looong Game,19,Sean Graham,SeanGraham,South Africa,Open,4,33.33%,-8,33.33%,8/12,0.00,Completed
D2 Stage: 13 The Looong Game,20,Stelios Christofi,Stel,South Africa,Factory,4,33.33%,-8,33.33%,7/12,0.00,Completed
D2 Stage: 13 The Looong Game,21,Werner Walkinshaw,WernerWW,South Africa,Open,3,25.00%,-9,25.00%,10/12,0.00,Completed
D2 Stage: 13 The Looong Game,22,Andre Steenkamp,andre_intouch,South Africa,Senior,2,16.67%,-10,16.67%,7/12,0.00,Completed
D2 Stage: 13 The Looong Game,23,Pieter le Roux,gokinetix,South Africa,Factory,2,16.67%,-10,16.67%,9/12,0.00,Completed
D2 Stage: 13 The Looong Game,24,Riaan  Kunneke ,Nunuz007,South Africa,Senior,2,16.67%,-10,16.67%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,25,Dumisani Shabangu,Dumisani,South Africa,Open,1,8.33%,-11,8.33%,5/12,0.00,Completed
D2 Stage: 13 The Looong Game,26,Jeanette Coetzee,JeanetteCoetzee,South Africa,Ladies,1,8.33%,-11,8.33%,7/12,0.00,Completed
D2 Stage: 13 The Looong Game,27,Grant Bower,GeeBee,South Africa,Factory,0,0.00%,-12,0.00%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,28,Jaco Bosman,JacoBos,South Africa,Open,0,0.00%,-12,0.00%,6/12,0.00,Completed
D2 Stage: 13 The Looong Game,29,Liezel Foot,TheFoot,South Africa,Ladies,0,0.00%,-12,0.00%,6/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,1,Dehan Lotz,Lotz,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,2,Kevin Goncalves,Kevo_,South Africa,Factory,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,3,Malcolm  Coetzee,MalcolmCoetzee,South Africa,Open,11,91.67%,-1,91.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,4,Dumisani Shabangu,Dumisani,South Africa,Open,10,83.33%,-2,83.33%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,5,Handre van Niekerk,havn,South Africa,Factory,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,6,Jaco Bosman,JacoBos,South Africa,Open,10,83.33%,-2,83.33%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,7,Kobus Swart,kobusswart31,South Africa,Open,10,83.33%,-2,83.33%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,8,Riaan  Kunneke ,Nunuz007,South Africa,Senior,9,75.00%,-3,75.00%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,9,Sean Graham,SeanGraham,South Africa,Open,9,75.00%,-3,75.00%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,10,Angelo van Zyl,AngeloZ,South Africa,Open,8,66.67%,-4,66.67%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,11,Asharuf  Moorad ,Asharuf,South Africa,Open,8,66.67%,-4,66.67%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,12,Gerhard Slabbert,Gerhard,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,13,Glen Clark ,Glen,South Africa,Senior,8,66.67%,-4,66.67%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,14,Hugo Coetzee,kleinplasie15,South Africa,Open,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,15,Le Riche Coetzer Snr,Uncle_SAPRF,South Africa,Senior,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,16,Marieke Van Rooyen,Marieke,South Africa,Ladies,8,66.67%,-4,66.67%,9/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,17,Pieter le Roux,gokinetix,South Africa,Factory,8,66.67%,-4,66.67%,12/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,18,Andries Lategan,Lategan,South Africa,Senior,7,58.33%,-5,58.33%,11/12,0.00,Completed
D2 Stage: 14 Steps to Recovery,19,Grant Bower,GeeBee,South Africa,Factory,7,58.33%,-5,58.33%,11/12,0.00,Completed
