shooter_name,division,raw_score,placement
"Jacques Mey",Factory,,
"Carla Nel",Ladies,,
"Justin Coverly",Open,,
"Marius Gericke",Senior,,
"Russell Ferreira",Factory,80,1
"Sean Graham",Open,79,2
"Kevin Goncalves",Open,73,3
"Warren Britnell",Open,71,4
"Kim-Leigh Ferreira",Ladies,65,5
"Jaco Bosman",Open,64,6
"Antonie Roets",Open,64,6
"Clive Mey",Open,63,8
"Deon Retief",Open,63,8
"Wayne Lesch",Open,62,10
"Jason Marais",Open,62,10
"Riaan Kunneke",Senior,61,12
"Lian Van der Merwe",Junior,60,13
"Petrus Rasmus Jansen van Vuuren",Open,59,14
"Jandre Weideman",Open,59,14
"Stelios Christofi",Factory,58,16
"Lodewyk Jansen van vuuren",Open,58,16
"Aliza Mey",Ladies,57,18
"Bertus Kleyn",Open,57,18
"Grant Bower",Factory,56,20
"Catelynn Britnell",Ladies,56,20
"Dumisani Shabangu",Open,56,20
"Brandon Frazer",Open,55,23
"Andries Lategan",Senior,55,23
"Jared Souvaris",Open,53,25
"Eghard Van Den Berg",Open,53,25
"MC Van Tonder",Junior,52,27
"Francois de Kock",Open,51,28
"Pieter Niemand",Open,51,28
"Conner Britnell",Junior,50,30
"Coenie Van Tonder",Open,50,30
"Glen Clark",Senior,50,30
"Hanno Van Niekerk",Factory,49,33
"Tiaan Scheepers",Open,49,33
"Trevor Graham",Senior,49,33
"Erich Van der Merwe",Junior,48,36
"Liné de Witt",Ladies,46,37
"Marjee Badenhorst",Open,45,38
"Diana Zoccola",Ladies,44,39
"Donovan Souvaris",Open,44,39
"Natasha Britnell",Ladies,43,41
"Jaco van Tonder",Open,42,42
"Stephanus Janse van Rensburg",Senior,37,43
"Heinrich Strauss",Senior,35,44
"Mico Brummer",Junior,32,45
"Grant Edmiston",Factory,30,46
"Patric Fourie",Open,30,46
"Chris Pretorius",Open,30,46
"Duane Brummer",Junior,29,49
"Francois Stoltz",Open,29,49
"Neil Erwin",Senior,26,51
"Adrian Janse van Rensburg",Senior,19,52
"Adriani Mari Brummer",Junior,10,53
