shooter_name,division,raw_score,placement
"Andre Symington",Senior,72,1
"Liezel Foot",Ladies,70,2
"Malcolm Coetzee",Open,70,2
"Angelo Van Zyl",Open,69,4
"Gerhard Slabbert",Open,63,5
"Greg Sykes",Senior,62,6
"Le Riche Coetzer Snr",Senior,61,7
"Handre van Niekerk",Factory,59,8
"Jeanette Coetzee",Ladies,59,8
"Werner Walkinshaw",Open,58,10
"Andre Steenkamp",Senior,52,11
"Marieke Van Rooyen",Ladies,50,12
"Pieter le Roux",Factory,47,13
"Kobus Swart",Open,46,14
"Asharuf Moorad",Open,44,15
"TW Van Zyl",Factory,42,16
