shooter_name,division,raw_score,placement
"Michelle Janse van Rensburg",Ladies,,
"Carla Nel",Ladies,,
"Russell Ferreira",Factory,89,1
"Henna du Plessis",Open,88,2
"Kim-Leigh Ferreira",Ladies,87,3
"Kevin Goncalves",Factory,82,4
"Sean Graham",Open,79,5
"Justin Coverly",Open,78,6
"Marcel Steyn",Open,76,7
"Riaan Kunneke",Senior,75,8
"Edward Henwood",Factory,73,9
"Trevor Graham",Senior,73,9
"Andries Lategan",Senior,73,9
"Alwyn van Graan",Factory,72,12
"Petrus Rasmus Jansen van Vuuren",Open,72,12
"Clive Mey",Open,72,12
"Deon Retief",Open,72,12
"Jaco Bosman",Open,71,16
"Glen Clark",Senior,71,16
"Wayne Lesch",Open,69,18
"Jason Marais",Open,66,19
"Jandre Weideman",Open,66,19
"Brandon Frazer",Open,65,21
"Lodewyk Jansen van vuuren",Open,65,21
"Eghard Van Den Berg",Open,65,21
"Stelios Christofi",Factory,63,24
"Erich Van der Merwe",Junior,63,24
"Jacques Potgieter",Open,63,24
"Dumisani Shabangu",Open,63,24
"Marjee Badenhorst",Open,62,28
"Diana Zoccola",Ladies,61,29
"Lian Van der Merwe",Junior,59,30
"Liné de Witt",Ladies,59,30
"Heinrich Strauss",Senior,58,32
"Francois Stoltz",Open,57,33
"Antonie Roets",Open,56,34
"Grant Bower",Factory,55,35
"Bertus Kleyn",Open,55,35
"Pieter Niemand",Open,53,37
"Jaco van Tonder",Open,53,37
"Hanno Van Niekerk",Factory,51,39
"MC Van Tonder",Junior,50,40
"Coenie Van Tonder",Open,49,41
"Patric Fourie",Open,48,42
"Grant Edmiston",Factory,44,43
"Louis Raubenheimer",Open,44,43
"Aliza Mey",Ladies,35,45
