shooter_name,division,raw_score,placement
"Erich Van der Merwe",Junior,,
"Lian Van der Merwe",Junior,,
"Justin Coverly",Open,,
"Lodewyk Jansen van vuuren",Open,,
"Russell Ferreira",Factory,72,1
"Jeanette Coetzee",Ladies,70,2
"Stelios Christofi",Factory,67,3
"Kim-Leigh Ferreira",Ladies,67,3
"Dumisani Shabangu",Factory,66,5
"Grant Bower",Factory,65,6
"Jared Souvaris",Junior,62,7
"Sean Graham",Open,62,7
"Hendrik van zyl",Open,62,7
"Jandre Weideman",Open,62,7
"Malcolm Coetzee",Open,61,11
"Riaan Kunneke",Senior,61,11
"Brandon Frazer",Open,60,13
"Trevor Graham",Senior,60,13
"Antonie Roets",Open,59,15
"Heinrich Strauss",Senior,59,15
"Pieter Niemand",Open,58,17
"Liné de Witt",Ladies,56,18
"Jaco Bosman",Open,55,19
"Stephanus Janse van Rensburg",Senior,55,19
"Chris Pretorius",Open,54,21
"Grant Edmiston",Open,52,22
"Diana Zoccola",Ladies,51,23
"Donovan Souvaris",Open,50,24
"Ettienne Hennop",Senior,48,25
"Anneleen van Zyl",Ladies,41,26
"Jaco van Tonder",Open,38,27
"Adrian Janse van Rensburg",Factory,31,28
